Line;Category
  اصبر قليلاً فبعد العسر تيسير وكلّ أمرٍ له وقت وتدبير.;الصبر
  الأمور التي تعرفها تعادل في حجمها حفنة الرمل التي في يدك، أما الأمور التي لا تعرفها تعادل في حجمها حجم الكون.;التواضع
  البشر لن يجدوا أبر بهم ولا احنى عليهم من الله عز وجل  ;الرحمة 
  الحسد أغبى الرذائل إطلاقا فإنه لا يعود على صاحبه بأية فائدة;الحسد
  الصّبر أفضل علاج للحزن. ( بلوطس );الصبر
  العفاف زينة الفقر والشكر زينة الغنى  من يزرع المعروف يحصد الشكر;الشكر
  اللامبالاة ليست غياب المشاعر بل رفضها  ;اللامبالاة
  المُتواضع إن أُعطيَ شكر ، وإن مُنع صبر .;الصبر
  إنّ غداً لناظره قريب.;الصبر
  بقدر ما يكون مقام المرء رفيعا بقدر ما يتعين عليه أن يبدو متواضعًا.;التواضع
  ثق بأن الصوت الهادئ أقوى من الصراخ وإن التهذيب يهزم الوقاحة وإن التواضع يحطم الغرور.;التواضع
  حديث عن أنّ الكبرياء لله وحده ولا يجوز لعبد أن يتكبر في الأرض: عن أبي هريرة -رضي الله عنه- قال: قال رسولُ اللَّهِ -صَلّى اللهُ عَلَيْهِ وسَلَّم-: قال اللَّه -عزَّ وجلَ-ّ: العِزُّ إِزاري، والكِبْرياءُ رِدَائِي، فَمَنْ يُنَازعُني في واحدٍ منهُما فقدْ عذَّبتُه.;التواضع
  دع الأيّام تفعل ما تشاء وطب نفساً بما حكم القضاء.;الصبر
  عن أبي هريرة رضي الله عنه، عن النبي -- قال: ما نقصت صدقة من مال، وما زاد الله عبدا بعفو إلا عزًا، وما تواضع أحد لله إلا رفعه الله.;التسامح
  قال عقبة رضي الله عنه: لقيت رسول الله -عليه الصلاة والسلام- فأخذت بيده، فقلت: يا رسول الله أخبرني بفواضل الأعمال فقال: يا عقبة صل من قطعك وأعط من حرمك وأعرض عمن ظلمك.;التسامح
  قبل أن يبدأ الإنسان حياته عليه أن يقاتل شعور الحسد والكراهية في نفسه;الحسد
  قليل من الغيرة بناء وكثير منها هدام; الغيرة
  كل آتٍ قريب وكل همٍّ إلى فرج.;الصبر
  من لم يصبر على كلمة.. سمع كلمات.;الصبر
 (قال الإمام علي رضي الله عنه ): مكارم الأخلاق عشرة: السخاء، الحياء، الصدق، أداء الأمانة، التواضع، الغيرة، الشجاعة، الحلم، الصبر ، الشكر.;الصبر
" (مكتوب في الحكمة لتكن كلمتك طيبة وليكن وجهك بسطا؛ تكن أحب إلى الناس ممن يعطيهم العطاء)";التودد
 (يا بني إذا سمعت كلمة من مسلم فاحملها على أحسن ما تجد حتى لا تجد محملا);التودد
 ابذل لصديقك دمك ومالك.;الصداقة
 إبراهيم الفقي: إمّا أن تسامح تمامًا أو لا تسامح على الإطلاق.;التسامح
 أتدرون ما التواضع.. قالوا: ما هو.. قال: التواضع أن تخرج من منزلك ولا تلقى مسلماً إلّا رأيت له عليك فضلاً.;التواضع
 اتّق شر من أحسنت إليه.;الغدر
 اجلس حيث يُؤْخَذُ بيدك وَتُبَرُّ ولا تجلس حيث يؤخذ برجلك وتُجَرُّ.;العلم والحكمة
 أحب الأشخاص المتواجدين في حياتي، وأفعل لأصدقائي كل شيء يحتاجون إليه في أي وقت كان.;الأخوة والصداقة
 أحب الخلق إلى الله المتواضعين.;التواضع
 أحبّ الخلق إلى الله المتواضعين.;التواضع
 احبس ثلاثاً بثلاث حتى تكون من المؤمنين: الكبر بالتواضع والحرص بالقناعة والحسد بالنصيحة ;التواضع
 احبس ثلاثاً بثلاث حتى تكون من المؤمنين: الكبر بالتواضع والحرص بالقناعة والحسد بالنصيحة.;التواضع
 احتفظ بذهنية المبتدئ.;التواضع
 احذر الأحمق واحذر وُدَّهُ إنما الأحمق كالثوب الْخَلَق.;الحذر
 احذر أن يشكوك أحد إلى الله، فلن ينتهي حتى يصيبك ما ذاقه منك.;الظلم
 احذر خيانة الفرح فخيانته قاسية.;الخيانة
 احذر عدوك مرة وصديقك ألف مرة فإن انقلب الصديق فهو أعلم بالمضرة.;الصداقة
 احذروا من لا يرجى خيره ولا يؤمن شره.;الحذر
 أَحْسِنْ إلى الناس تستعبد قلوبهم.;العلم والحكمة
 احفر بئراً وَطُمَّ بئراً ولا تُعَطِّلْ أجيرا.;النصح
 احفظ قرشك الأبيض ليومك الأسود.;النصح
 أحمد البلاغة الصمت حين لا يَحْسُنُ الكلام.;السكوت والكلام
 أحمد الشقيري: قد يرى البعض أن التسامح انكسار، وأن الصمت هزيمة، لكنهم لا يعرفون أن التسامح يحتاج قوة أكبر من الانتقام، وأن الصمت أقوى من أيّ كلام.;التسامح
 أحمد الصباغ: الاحترام المتبادل هو الذي يؤكّد أن الأخطاء قابلة للتسامح مهما كانت، دون الاحترام لا يمكن التسامح.;التسامح
 أحيانًا يكون التواجد مع صديقك المفضل هو كل العلاج الذي تحتاجه.;الأخوة والصداقة
 آخ الأْكْفاءَ وداه الأعداء.;الصداقة
 أخاك أخاك إن مَنْ لا أخاً له كَساعٍ إلى الهيجا بغير سلاح.;العزة والشجاعة
 أخشى ما أخشاه أن تصبح الخيانة وجهة نظر.;الخيانة
 أخشى ما أخشاه أن يأتي اليوم الذي تصبح فيه الخيانة وجهة نظر.;الغدر
 أخوك من صدقك النصيحة.;العزة والشجاعة
 أخوك من صَدَقك لا من صدّقك.;الصداقة
 أخوك هو الذي يسير في الشارع قبلك ليمهد لك الطريق.;الأخوة والصداقة
 أخوك هو صديقك الذي لا يمكن أن يتخلى عنك أبدًا.;الأخوة والصداقة
 أدّ الأمانة والخيانة فاجتنب.. واعدل ولا تظلم يطيب المكسب.;الغدر
 أداء الأمانة مفتاح الرزق.;الأمانة
 أدركتُ أنه لا شيء يستطيع أن يحقن في أوردتك جرعاتٍ من الود العميق تجاه إنسان، كما يفعل سلوك (التواضع)، والتصرف بعفوية وبساطة، بعيداً عن مكياج (الأهمية) الكاذب، والادعاء، والتصنّع، وربما الشعور المُبتذل بالعظمة.;التواضع
 أدهم شرقاوي: قد يكون الحب أروع من الصداقة، ولكن تظل الصداقة أبقى من الحب.;الأخوة والصداقة
 إذا أتاك أحد الخصمين وقد فُقِئَتْ عينه فلا تقض له حتى يأتيك خصمه فلعله قد فُقِئَتْ عيناه.;العدل
 إذا احتاج اللئيم تواضع وتقرب، وإذا استغنى تجبر وتكبر.;التواضع
 إذا أردت العيش لتصل المئة سنة، أنا أريد أن أعيش لأصل مئة سنة إلاّ يوم لذلك أنا لن أستطيع العيش بدونك.;الأخوة والصداقة
 إذا أردت أن تطاع فأمر بما يستطاع.;المدح ومكارم الأخلاق
 إذا أردت أن تعرف أخلاق شخص فاسأل عن أصدقاءه، فالصالحون يجالس بعضهم بعضًا.;الأخوة والصداقة
 إذا المرء لم يدنس من اللؤم عرضه فكل رداء يرتديه جميل.;المدح ومكارم الأخلاق
 إذا امتلكت زهرة في كل مرة أفكر بك، يمكنني السير خلال حديقتي للأبد.;الأخوة والصداقة
 إذا أنت أكرمت الكريم ملكته وإن أنت أكرمت اللئيم تمردا.;المدح ومكارم الأخلاق
 إذا أنت لم تشرب مراراً على القذى ظمئت وأي الناس تصفو مشاربه.;الصبر والمواساة
 إذا بلغ الرأي المشورة فاستعن بحزم ناصح أو نصيحة حازم.;المشورة
 إذا تكلمت بالكلمة ملكتك وإذا لم تتكلم بها ملكتها.;السكوت والكلام
 إذا تم العقل نقص الكلام.;العلم والحكمة
 إذا تولى عقداً أحكمه.;العدل
 إذا جاء الحين حارت العين.;الحذر
 إذا خانك الشخص مرّة فهذا ذنبه، أما إذا خانك مرتين فهذا ذنبك أنت.;الغدر
 إذا ذكرت الذئب فخذ الحذر.;النصح
 إذا رأيت نيوب الليث بارزة فلا تظنن أن الليث يبتسم.;الحذر
 إذا زل العالِمُ زل بزلته عالَمٌ.;العلم والحكمة
 إذا سلمت من الأسد فلا تطمع في صيده.;النصح
 إذا سئل الشريف تواضع، وإذا سئل الوضيع تكبر.;التواضع
 إذا صدأ الرأي أصقلته المشورة.;المشورة
 إذا صُنْتَ المودة كان باطنها أحسن من ظاهرها.;الصداقة
 إذا ضربت فأوجع فإن الملامة واحدة.;العلم والحكمة
 إذا طعنت من الخلف فاعلم أنك في المقدمة.;الغدر
 إذا ظلمت من دونك فلا تأمن عقاب من فوقك.;النصح
 إذا عرضت عليك أمانة المنصب وحملتها، فتذكر أنها تكليف ستسأل عنه يوم الدين، أما إذا اعتقدت ولو لوهلة أنها تشريف يهابك ويحترمك بسببها الخلق، فتذكر هيبة المحشر لتنسى ترهات ما اعتقدته.;الأمانة
 إذا غامَرْتَ في شرف مروم فلا تقنع بما دون النجوم.;العزة والشجاعة
 إذا فعلت كل شيء فكن كمن لم يفعل شيئا.;التواضع
 إذا قصرت يدك عن المكافأة فليصل لسانك بالشكر.;النصح
 إذا قل ماء الوجه قل حياؤه، ولا خير في وجه إذا قل ماؤه.;النصح
 إذا كان الصبر مُرًّا فعاقبته حلوة.;الصبر
 إذا كان الصبر مُرًّاً فعاقبته حلوة.;الصبر والمواساة
 إذا كان الغدر في الناس موجوداً فالثقة بكل أحد عجز.;الغدر
 إذا كان الكلام من فضة فالسكوت من ذهب.;النصح
 إذا كان لديك صديق يعينك على الطاعة، فتمسك به، لأن إيجاد الصديق صعب، ومفارقته سهلة.;الأخوة والصداقة
 إذا كان من الظلم أن ترفض ما تراه صواباً، فليس من العدل في شيء أن تقبل ما تراه خطأ.;الظلم
 إذا كان هذا من الأقارب فعلكم، فماذا الذي أبقيتم للأباعد.;الظلم
 إذا كنت تمتلك أصدقاء جيدين، سيجعلونك تبتسم بالرغم من صعوبات الحياة.;الأخوة والصداقة
 إذا كنتَ ذا رأىٍ فكن ذا مشورة فإن فساد الرأي أن تترددا.;الحذر
 إذا كنت ذا رأي فكن ذا عزيمة.;العلم والحكمة
 إذا كنت سنداناً فاصبر وإذا كنت مطرقة فأوجع.;النصح
 إذا كنت صادقا فلماذا تحلف.;الصدق
 إذا كنت في كل الأمور معاتباً صديقك لم تلق الذي لا تعاتبه.;الصداقة
 إذا كنت قائماً بحمل أمانة فأنت مؤتمن على أمانتك، مديراً كنت أو وزيراً أو رئيساً، وتذكر أن من ترعاهم أحراراً، فلا تستعبدهم بنفوذك وسلطتك فتذل في الدنيا قبل الآخرة.;الأمانة
 إذا كنت محايداً في حالات الظلم فقد اخترت أن تكون بجانب الظالم وبعيد عن الحق.;الحق
 إذا لم تتعلم الصدق من الآخرين فلا تحاول أن تعلمهم طريقتك الفريدة في الكذب.;الصدق
 اذا لم تستحي فافعل ما تشاء.;المدح ومكارم الأخلاق
 إذا لم يكن إلا الأَسِنَّةُ مركباً فلا رأي للمضطر إلا ركوبها.;العزة والشجاعة
 إذا نُصِرَ الرأي بطل الهوى.;العلم والحكمة
 إذا نظرت بعين التفاؤل إلى الوجود، لرأيت الجمال شائعاً في كل ذراته.;جمال الروح
 إذا هَبَّتْ رياحك فاغتنمها.;النصح
 إذا وجدت صديقًا حقيقيًا فتمسك به جيدًا، فقد أصبح الوفاء عملة نادرة بين الناس.;الأخوة والصداقة
 أرسطو: أعز أصدقائي، هو الذي يتمنى كل الخير من أجلي.;الأخوة والصداقة
 أرسل حكيماً ولا توصه.;العلم والحكمة
 أرعى الأمانة لا أخون أمانتي.. إن الخؤون على الطريق الأنكب.;الأمانة
 أرفعُ الناس قدراً من لا يرى قدرَه، وأكبر النّاس فضلاً من لا يرى فضلَه.;التواضع
 ازرع الصدق والرصانة تحصد الثقة والأمانة.;الصدق
 استقبال الموت خير من استدباره.;العزة والشجاعة
 استكثر من الإخوان الصالحين، فإن لهم شفاعة يوم القيامة.;الأخوة والصداقة
 أسد مفترس أمامك خير من كلب خائن وراءك.;الغدر
 اسمان متضادان بمعنى واحد: التواضع والشرف.;التواضع
 أسوأ ما في النجاح هو محاولة إيجاد شخص يشعر بالسعادة من أجلك.;الأخوة والصداقة
 اشتدي يا أزمة تنفرجي.;العلم والحكمة
 أشد الجهاد مجاهدة الغيظ.;العلم والحكمة
 أشد العلماء تواضعاً أكثرهم علماً، كما أن المكان المنخفض أكثر البقاع ماء.;التواضع
 أشدّ العلماء تواضعاً أكثرهم علماً، كما أنّ المكان المنخفض أكثر البقاع ماء.;التواضع
 أشد الفاقة عدم العقل.;العلم والحكمة
 أشد الناس نفاقا من أمر بالطاعة و لم يعمل بها و نهى عن المعصية و لم ينته عنها;النفاق
 اشكر من أَنْعَمَ عليك وأَنْعِمْ على من شكرك.;النصح
 أصبر ْ عَالحُصرُم تاكْله ْ عنب ْ.;الصبر
 اصبر تنل.;الصبر والمواساة
 اصبر على كيد الحسود فإن صبرك قاتله كالنار تأكل بعضها إن لم تجد ما تأكله;الحسد
 اصبر قليلاً فبعد العسر تيسير وكل أمر له وقت وتدبير.;الصبر والمواساة
 اصبر لكلّ مُصِيبةٍ وتجلًّدِ واعلم بأنّ الدهر غير مُخَلَّدِ لرمد أهون من العمى. ;الصبر
 اصبر لكل مُصِيبةٍ وتجلًّدِ واعلم بأن الدهر غير مُخَلَّدِ.;الصبر والمواساة
 أصدق الصِّدق الأمَانَة وأكذب الكذب الخيانة.;الكذب
 أصعب الألم.. أن ترسم الضحكة على شفاهك وداخلك ينتحب، أن تجامل من حولك بالفرح والحزن يبني حضارةً في صدرك، أصعب الألم.. أن تثق بالحب في زمن الغدر وتثق بالحياة في زمن الشقاء وتثق بالصوت في زمن الصمت.;الغدر
 اصنع خيرًا لأنه الشيء الوحيد الذي لا يموت حين تغيب أنت.;فعل الخير
 اِضْرِبْ ما دام الحديد حامياً.;النصح
 اطلب من العلوم علماً ينفعك ينفي الأذى والعيب ثم يرفعك.;الخبرة في الحياة
 أعدل الشهود التجارب.;الخبرة في الحياة
 أعز مكان في الدنا سرج سابح وخير جليس في الزمان كتاب.;الخبرة في الحياة
 اعف عما أغضبك لما أرضاك.;المدح ومكارم الأخلاق
 اعلم أن إيمانك لا يكتمل ما لم تحب لأخيك ما تحب لنفسك.;الأخوة والصداقة
 أعلمه الرماية كل يوم فلما اشتد ساعده رماني;النفاق
 أعلّمه الرماية كلّ يوم فلمّا اشتدّ ساعده رماني وكم علمته نظم القوافي فلما قال قافيةً هجاني أعلّمه الفتوّة كل وقت فلمّا طرّ شاربه جفاني.;الغدر
 أفضل أخلاق الرّجال التَّصَبُّرُ. ;الصبر
 أفضل الأصدقاء هم الذين يجعلونك تضحك بصوت أعلى، وتبتسم بإشراقة أكثر، وتعيش أفضل.;الأخوة والصداقة
 أفضل الأمانة الوفاء بالعهد.;الأمانة
 أفضل الجود العطاء قبل الموعد.;المدح ومكارم الأخلاق
 أفضل الجود أن تبذل من غير مسألة.;النصح
 أفضل الخدع وأسلمها هي الحقيقة البحتة، فلا أحد يصدقها.;الخيانة
 أفضل الولاة من بقي بالعدل ذكره، واستمده من بعده.;العدل
 أفضل أن أمشي مع صديقي في الظلام على أن أمشي لوحدي في ضوء النهار.;الأخوة والصداقة
 أفضل صديق هو الشخص الذي يجعلك تضحك حتى عندما تعتقد أنك لن تبتسم مرة أخرى.;الأخوة والصداقة
 أفضل نتيجة من التربية هو التسامح.;التسامح
 أقلل عتابك فالبقاء قليل والدهر يعدل تارة ويميل.;النصح
 أقول دائماً أنني ممتنٌ لمقابلتك’لشخص لست ممتناً لأنني قابلته عليك أن تقول ذلك إذا كنت تريد البقاء على قيد الحياة.;الأخوة والصداقة
 أكبر شر عدا الظلم، هو أن لا يدفع الظالم ثمن ظلمه.;الظلم
 أكبر منك بيوم أعرف منك بسنة.;الخبرة في الحياة
 أكرم نفسك عن كل دنيء.;العزة والشجاعة
 أكيس الكيس التقوى، وأحمق الحمق الفجور، وأصدق الصدق الأمانة، وأكذب الكذب الخيانة.;الغدر
 أكيس الكيْس التقوى، وأحمق الحَمَق الفجور، وأصدق الصِدْق الأمانة، وأكذب الكذِب الخيانة.;الأمانة
 الاحترام المتبادل هو الذي يؤكد أن الأخطاء قابلة للتسامح مهما كانت، دون الاحترام لا يمكن التسامح.;التسامح
 الأخ هو الشخص الذي لا يسمح لدموعك أن تسقط، والصديق هو من يمسح دموعك إذا رآها.;الأخوة والصداقة
 الأخ هو الشخص الذي يمكنك الاستناد عليه مهما كان ثقل همك.;الأخوة والصداقة
 الإخلاص لا يطلب، إن في طلبه استجداء ومهانة للحب، فإن لم يكن حالة عفوية، فهو ليس أكثر من تحايل دائم على شهوة الخيانة وقمع لها.. أي خيانة من نوع آخر.;الغدر
 الاستحمام بشكل دوري، وقص الأظافر، وتنظيف الأسنان بالفرشاة والمعجون، وغسل اليدين قبل وبعد تناول الطعام، من أولويات النظافة الشخصية التي يجب فعلها.;النظافة
 الإسلام دين الوسطيّة، فهو يعدل في كلّ أمور الحياة.;العدل
 الأصدقاء الأوفياء إخوة، وضعهم الله في طريقنا، لنهون على بعضنا متاعب الحياة.;الأخوة والصداقة
 الأصدقاء الجيدون، الكتب الجيدة، والضمير النائم، هم مقومات الحياة.;الأخوة والصداقة
 الأصدقاء الحقيقيون هم فقط من يحمون بعضهم البعض من أي شيء وفي أي وقت.;الأخوة والصداقة
 الأصل في التسامح أن تستطيع الحياة مع قوم تعرف يقيناً أنهم خاطئون.;التسامح
 الإفراط في التواضع يجلب المذلة.;العزة والشجاعة
 الأفعال أبلغ من الأقوال.;الجد والعمل
" الأم التي تعتني بنظافة طفلها الشخصية ليكون بأجمل صورة هي أم مثالية تستحق الثناء؛ لأنها لم تهمل نظافة طفلها، كي تحافظ على صحته وصورته أمام الجميع.";النظافة
 الأم مدرسة إذا أعددتها أعددت شعباً طيب الأعراق.;الخبرة في الحياة
 الأمانة أول فصل في كتاب الحكمة.;الأمانة
 الأمانة هي الأمان وسط زحام الحياة.;الأمانة
 الأمور التي تعرفها تعادل في حجمها حفنة الرمل التي في يدك، أمّا الأمور التي لا تعرفها تعادل في حجمها حجم الكون.;التواضع
 الأمين يغير أفكاره لتتناسب مع الحقيقة، والمخادع يغير الحقيقة لتتلاءم مع أفكاره.;الأمانة
 الإنسان الشريف الحقيقي هو الذي لا يتباهى بشيء.;التواضع
 الأيام دول.;الصبر والمواساة
 ألبر كامو: لا تمشي ورائي فقد لا تلحقني، ولا تمشي أمامي فقد لا ألحقك، ولكن امش بجانبي وكن صديقي.;الأخوة والصداقة
 البعيد عن العين بعيد عن القلب.;الحب
 البقاء هو مصطلح ساحر من مفردات الأصدقاء.;الأخوة والصداقة
 التجارب ليست لها نهاية والمرء منها في زيادة.;الخبرة في الحياة
 التسامح المطلق لا يستلزم نسيان الماضي بالكامل.;التسامح
 التسامح زينة الفضائل.;التسامح
 التسامح صفة من صفات الأقوياء، فلا تجد الضعيف يستطيع أن يقدم روح المغفرة.;التسامح
 التسامح طريق الجنة.;التسامح
 التسامح هو الذي يعطي للصواب قوته وقدراته على الامتداد وتحقيق النصر.;التسامح
 التسامح هو الشك أنّ الآخر قد يكون على حق.;التسامح
 التسامح هو العطر الذي تطبعه زهرة البنفسج على القدم التي سحقتها.;التسامح
 التسامح هو أن تمنح الكراهية بداخلك غرفة صغيرة جداً في قلبك.;التسامح
 التفاؤل هو الإصرار على أن كل شيء على ما يرام في أصعب اللحظات;التفاؤل
 التفاؤل هو الاعتقاد بأن كل شيء جميل بما في ذلك ما هو قبيح;التفاؤل
 التفاؤل يبني النجاح والتشاؤم يقتل الإنجاز;التفاؤل
 التفاؤل يمكن أن يساعدك في استعادة إيمانك بنفسك;التفاؤل
 التواضع اجتلاب المجد واكتساب الود.;التواضع
 التواضع الحقيقي هو أبو كل الفضائل.;التواضع
